meme_id,image_path,blip_caption
110002,./memes/110002.jpeg,a group of men in suits and ties standing next to each other
110006,./memes/110006.jpeg,a cartoon of a woman in a blue mask and a man in a black hat
110007,./memes/110007.jpeg,a picture of a picture of jesus sitting on a bench with people
110009,./memes/110009.jpeg,a close up of a godzilla attacking a crab on a beach
110013,./memes/110013.jpeg,a cartoon of a man with a beard and glasses next to another man with a beard
110014,./memes/110014.jpeg,there is a skeleton sitting on a bench with a heart in it
110017,./memes/110017.jpeg,a woman laughing while holding a chocolate bar in her hand
110019,./memes/110019.jpeg,arafed woman sitting on a couch with a dog in her lap
110020,./memes/110020.jpeg,"a cartoon picture of a group of people with the words,'dia de la mujer expect"
110021,./memes/110021.jpeg,a close up of a person with a cartoon on a poster
110023,./memes/110023.jpeg,there is a man holding a camera in front of a building
110025,./memes/110025.jpeg,there are four different types of people with beards and mustaches
110028,./memes/110028.jpeg,a close up of a person on a cell phone with a tweet
110029,./memes/110029.jpeg,there are two men with their hands in the air and one is holding a sign
110031,./memes/110031.jpeg,a cartoon image of a man with a caption saying when metn 30 anos en la
110032,./memes/110032.jpeg,a close up of a cell phone with a picture of a man and a woman
110033,./memes/110033.jpeg,arafed image of a man and woman in a business suit
110035,./memes/110035.jpeg,a man holding a giant gun with a caption in spanish
110036,./memes/110036.jpeg,arafed picture of a woman laying on a couch with a cat
110039,./memes/110039.jpeg,a cartoon picture of a group of people in a pool
110042,./memes/110042.jpeg,a picture of a man with a camera and a woman with a camera
110043,./memes/110043.jpeg,there is a man smoking a cigarette in a dark room
110044,./memes/110044.jpeg,a cartoon of a graph with a woman and a man in the middle
110046,./memes/110046.jpeg,a cartoon of a woman pushing a baby carriage with a man in a suit
110047,./memes/110047.jpeg,a man with a beard and mustache is looking at the camera
110048,./memes/110048.jpeg,a close up of a person in a suit with a text overlay
110049,./memes/110049.jpeg,a woman in a scarf and scarf is smiling in the snow
110050,./memes/110050.jpeg,arafed image of a man and woman talking to each other
110051,./memes/110051.jpeg,"a woman in a suit waving her hand with a caption saying,'mueres al pod"
110052,./memes/110052.jpeg,a black and white photo of a woman with glasses on her face
110053,./memes/110053.jpeg,a picture of a woman in a green dress is falling off her leg
110055,./memes/110055.jpeg,a poster with a picture of a woman with a brain on it
110056,./memes/110056.jpeg,a close up of a lemur with a hand up in the air
110057,./memes/110057.jpeg,a tweee with a picture of a rabbit on it and the american flag
110058,./memes/110058.jpeg,arafed text message from a woman about her car
110059,./memes/110059.jpeg,a picture of a woman with a speech bubble saying mama cuad termina de cocinar
110060,./memes/110060.png,cartoon of a man laying in a hammock with a cross in the background
110062,./memes/110062.jpeg,arafed man and woman standing in a street with a caption of institucion
110067,./memes/110067.jpeg,a cartoon character with a caption saying el macho
110070,./memes/110070.jpeg,a close up of a person in a suit and tie with a caption
110071,./memes/110071.jpeg,batman slapping a woman with a bat in a comic book
110072,./memes/110072.jpeg,a woman is being held by police officers in a street
110073,./memes/110073.jpeg,a cartoon picture of a man and a woman with a child
110074,./memes/110074.jpeg,"cartoon spongebob in a kitchen with a caption that reads,'i'm not"
110075,./memes/110075.jpeg,a close up of a text message on a computer screen
110078,./memes/110078.jpeg,a black and white photo of a man in a suit and tie
110079,./memes/110079.jpeg,a cartoon image of a man sitting at a table with a bag of food
110080,./memes/110080.jpeg,arafed woman pointing at a cat with a caption of a woman yelling at a cat
110081,./memes/110081.jpeg,a picture of a cartoon picture of a woman with red hair and green eyes
110082,./memes/110082.jpeg,a picture of a cartoon picture of a princess in a bed
110084,./memes/110084.jpeg,a cartoon picture of homer and homer playing guitar in a room
110085,./memes/110085.jpeg,a picture of a spider - man is on the phone with a caption
110086,./memes/110086.jpeg,a close up of a woman making a face with her mouth open
110087,./memes/110087.jpeg,a cartoon picture of a boy and girl in masks and a cat
110088,./memes/110088.png,a close up of a twitter post with a bird on it
110091,./memes/110091.jpeg,a picture of a stadium with a lot of people in it
